cell,hexagon_geometry,entity_id,city_name,city_id,orders,scraping_point_hex_centroid,zone_name,longitude,latitude
2399,"POLYGON ((4078100.358851974 19797125.351394057, 4078350.358851974 19796692.338692166, 4078100.358851974 19796259.325990275, 4077600.358851974 19796259.325990275, 4077350.358851974 19796692.338692166, 4077600.358851974 19797125.351394057, 4078100.358851974 19797125.351394057))",OP_SE,Stockholm,10,639.0,POINT (4077850.3588519744 19796692.338692166),['Kista'],4077850.3588519744,19796692.338692166
3315,"POLYGON ((4089350.358851974 19809682.719748907, 4089539.8088678177 19809354.582695972, 4089461.3566840487 19809260.308157846, 4089214.7551437933 19808992.758852705, 4088973.3040193543 19808816.694345124, 4088850.358851974 19808816.694345124, 4088600.358851974 19809249.707047015, 4088850.358851974 19809682.719748907, 4089350.358851974 19809682.719748907))",OP_SE,Stockholm,10,330.0,POINT (4089050.3339264565 19809297.29171532),['Lidingo'],4089050.3339264565,19809297.29171532
1471,"POLYGON ((4066850.358851974 19795826.313288383, 4067100.358851974 19795393.30058649, 4066850.358851974 19794960.2878846, 4066350.358851974 19794960.2878846, 4066100.358851974 19795393.30058649, 4066350.358851974 19795826.313288383, 4066850.358851974 19795826.313288383))",OP_SE,Stockholm,10,703.0,POINT (4066600.358851975 19795393.30058649),['Upplands vasby'],4066600.358851975,19795393.30058649
234,"POLYGON ((4051850.358851974 19793228.237077035, 4052100.358851974 19792795.224375144, 4051850.358851974 19792362.211673252, 4051350.358851974 19792362.211673252, 4051100.358851974 19792795.224375144, 4051350.358851974 19793228.237077035, 4051850.358851974 19793228.237077035))",OP_SE,Stockholm,10,483.0,POINT (4051600.358851974 19792795.224375144),['Marsta'],4051600.358851974,19792795.224375144
5053,"POLYGON ((4110350.358851974 19807950.66894134, 4110600.358851974 19807517.65623945, 4110350.358851974 19807084.64353756, 4109850.358851974 19807084.64353756, 4109600.358851974 19807517.65623945, 4109850.358851974 19807950.66894134, 4110350.358851974 19807950.66894134))",OP_SE,Stockholm,10,1368.0,POINT (4110100.3588519744 19807517.65623945),['Haninge'],4110100.3588519744,19807517.65623945
1875,"POLYGON ((4072100.358851974 19821374.062699974, 4072350.358851974 19820941.049998082, 4072100.358851974 19820508.03729619, 4071600.358851974 19820508.03729619, 4071350.358851974 19820941.049998082, 4071600.358851974 19821374.062699974, 4072100.358851974 19821374.062699974))",OP_SE,Stockholm,10,528.0,POINT (4071850.358851975 19820941.049998082),,4071850.358851975,19820941.049998082
4487,"POLYGON ((4103600.358851974 19814445.85946971, 4103850.358851974 19814012.84676782, 4103600.358851974 19813579.83406593, 4103100.358851974 19813579.83406593, 4102850.358851974 19814012.84676782, 4103100.358851974 19814445.85946971, 4103600.358851974 19814445.85946971))",OP_SE,Stockholm,10,963.0,POINT (4103350.358851974 19814012.84676782),['Tyresö'],4103350.358851974,19814012.84676782
4889,"POLYGON ((4108100.358851974 19788465.09735623, 4108350.358851974 19788032.08465434, 4108100.358851974 19787599.071952447, 4107600.358851974 19787599.071952447, 4107350.358851974 19788032.08465434, 4107600.358851974 19788465.09735623, 4108100.358851974 19788465.09735623))",OP_SE,Stockholm,10,245.0,POINT (4107850.3588519734 19788032.084654342),,4107850.3588519734,19788032.084654342
3669,"POLYGON ((4093850.358851974 19825271.177016996, 4094100.358851974 19824838.164315104, 4093850.358851974 19824405.151613213, 4093350.358851974 19824405.151613213, 4093100.358851974 19824838.164315104, 4093350.358851974 19825271.177016996, 4093850.358851974 19825271.177016996))",OP_SE,Stockholm,10,533.0,POINT (4093600.3588519744 19824838.16431511),['Gustavsberg'],4093600.3588519744,19824838.16431511
1334,"POLYGON ((4065350.358851974 19807084.64353756, 4065600.358851974 19806651.630835667, 4065440.8048739 19806375.275239095, 4065435.9577224725 19806379.098137386, 4065322.95607207 19806505.613467954, 4065328.2910430143 19806423.52994607, 4065276.6791360495 19806323.200974297, 4065312.4316777703 19806218.618133776, 4064850.358851974 19806218.618133776, 4064600.358851974 19806651.630835667, 4064850.358851974 19807084.64353756, 4065350.358851974 19807084.64353756))",OP_SE,Stockholm,10,146.0,POINT (4065090.814207372 19806663.276528828),['Vallentuna'],4065090.814207372,19806663.276528828
4392,"POLYGON ((4102100.358851974 19789331.122760013, 4102350.358851974 19788898.11005812, 4102100.358851974 19788465.09735623, 4101600.358851974 19788465.09735623, 4101350.358851974 19788898.11005812, 4101600.358851974 19789331.122760013, 4102100.358851974 19789331.122760013))",OP_SE,Stockholm,10,407.0,POINT (4101850.358851975 19788898.11005812),['Botkyrka'],4101850.358851975,19788898.11005812
3492,"POLYGON ((4091600.358851974 19817043.93568106, 4091850.358851974 19816610.92297917, 4091600.358851974 19816177.910277277, 4091100.358851974 19816177.910277277, 4090850.358851974 19816610.92297917, 4091100.358851974 19817043.93568106, 4091600.358851974 19817043.93568106))",OP_SE,Stockholm,10,162.0,POINT (4091350.358851975 19816610.92297917),,4091350.358851975,19816610.92297917
